tweet_id,OriginalText,CleanedText,ClassLabel,created_at
1237349997773049856,"Someone tell me why people lie to their “friends”.. 
#annoyed",someone tell me why people lie to their “friends”..  ,Angry,2020-03-10 12:10:02
1237311175945326593,the jistans waking up #PISSED,the distant waking up ,Angry,2020-03-10 09:35:47
1237273271118200832,Please let me tell you something: if you go to the gym please don’t chew bubblegum with an open mouth! The sound is seriously freaking me out ! #fitnesspeople #people #annoyed #dont #stopit #bubblegum #gym,please let me tell you something: if you go to the gym please do not chew bubblegum with an open mouth! the sound is seriously freaking me out ! ,Angry,2020-03-10 07:05:09
1237272654861619200,I CANT STAND TECHNOLOGY SOMETIMES 🤬 #pissed,i can not stand technology sometimes 🤬 ,Angry,2020-03-10 07:02:42
1237270327802998786,"boyfriend just gave me a 3DS how do i put the card innnnnnnn?
#3ds #annoyed #girlgamerproblems",boyfriend just gave me a 3ds how do i put the card inn? ,Angry,2020-03-10 06:53:28
1237255222730190848,why cant i play super smash bros for wii u on my wiiiiii! #annoyed #girlgamerproblems,why can not i play super smash bros for win you on my win! ,Angry,2020-03-10 05:53:26
1237253248236601344,"@JackPosobiec #Liberals are the #Devil #Incarnate

#Crusade?",@jackposobiec liberals are the devil incarnate  crusade?,Angry,2020-03-10 05:45:36
1237251708058611718,#hate it here and #hate myself,hate it here and hate myself,Angry,2020-03-10 05:39:28
1237211639478452225,"All of this season I was so frustrated with Peters decisions, now after seeing his family I COMPLETELY understand. #pissed #imsrryfortweetinsomuchabtthis #butimangry #TheBachelor","all of this season i was so frustrated with peters decisions, now after seeing his family i completely understand. ",Angry,2020-03-10 03:00:15
1237210210827198464,@Joclark16 Awful.  Can't even be happy he has kids. #pissed,@jocular16 awful.  can not even be happy he has kids. ,Angry,2020-03-10 02:54:35
1237206212455759873,#hate it here!,hate it here!,Angry,2020-03-10 02:38:41
1237178174510968833,@coinbase debit card cannot be registered issue. Can take 5-7 business days to sort before I can buy. What's the alternative quickest way I can buy with a UK debit card? #btc #blood #crash #markets #annoyed #banking,@coinage debit card cannot be registered issue. can take 5-7 business days to sort before i can buy. what is the alternative quickest way i can buy with a uk debit card? ,Angry,2020-03-10 00:47:17
1237178088963870721,My daddy get me shitten nigga lock my cash app 🤬🤬🤬🤬 all my money on there #PISSED,my daddy get me shitten nigua lock my cash app 🤬🤬 all my money on there ,Angry,2020-03-10 00:46:56
1237177415782273025,@Ilhan This is what you want for America. You are a #Communist #Terrorist filled with destruction and #hate.,@than this is what you want for america. you are a communist terrorist filled with destruction and hate.,Angry,2020-03-10 00:44:16
1237174862747181062,@yo_chelseaT  also tried using the candy cane emoji.. and couldn’t find it. #pissed #prevtweet,@yo_cheesevat  also tried using the candy cane emboli.. and could not find it. ,Angry,2020-03-10 00:34:07
1237163145740894208,"via @RickSan96539809 
#Hate #Putin #Traitor Blocked @Delmar57 #Troll",via @rickshas96539809  hate purin traitor blocked @dear57 ,Angry,2020-03-09 23:47:33
