tweet_id,OriginalText,CleanedText,ClassLabel,created_at
1237342244472066049,@ScuderiaFerrari Can not wait for the season to start #excited,@scuderiaferrari can not wait for the season to start ,Excitement,2020-03-10 11:39:14
1237339025603727361,@fuzztownshend Can’t wait for the new series to start. #excited #lovecarsos @timmy_ticket,@fuzztownshend can not wait for the new series to start. excited lovecarsos @jimmy_ticket,Excitement,2020-03-10 11:26:27
1237297947391516672,Dare I go and get my nails done today so I’m ready for #c2c2020 what do you think @C2Cfestival @ChrisCountry only 2 more sleeps until songwriters 🤞🤠🍺🤞#music #coronavirus #excited,dare i go and get my nails done today so I am ready for c2c2020 what do you think @c2festival @chriscountry only 2 more sleeps until songwriters 🤞🤠🍺🤞,Excitement,2020-03-10 08:43:13
1237256189181820928,@theprotector Constantinople Adventure #excited ❤️ But The End 😭😭😭 I can’t Wait omg #HakanMuhafiz,@theprotector constantinople adventure excited ❤️ but the end 😭😭 i can not wait org ,Excitement,2020-03-10 05:57:17
1237225200103632897,"Yooo. Purim celebration tomorrow. 

Because I deserve to start day drinking at 10am and eat kosher smoked meats all day while wearing cat ears. #ideservethis #excited",you. purim celebration tomorrow.   because i deserve to start day drinking at 10am and eat kosher smoked meats all day while wearing cat ears. ,Excitement,2020-03-10 03:54:08
1237219147789897730,hate when im so prepared for hearin it right after the 10th time i hear love one another !! &amp; then it plays the whole stream over again !! wtf !!!! #bracemyself #Excited #loveoneanother #musicvideocountdown #loveoneanotherstreaming #preparednotpanicked #anxious  :O :) x,hate when I am so prepared for hearing it right after the 10th time i hear love one another !! &amp; then it plays the whole stream over again !! whf !! bracemyself excited loveoneanother musicvideocountdown loveoneanotherstreaming preparednotpanicked anxious  :o :) x,Excitement,2020-03-10 03:30:05
1237219029871251457,"At some point we all have to choose, between what the world wants you to be and what you really are...
#BlackWidow cant wait for the movie #Excited","at some point we all have to choose, between what the world wants you to be and what you really are.. blackwidow can not wait for the movie ",Excitement,2020-03-10 03:29:37
1237208281430421504,Going to the @Canucks game tomorrow!! 1st one in over 18 years!! #excited #MyBirthday,going to the @canucks game tomorrow!! 1st one in over 18 years!! ,Excitement,2020-03-10 02:46:55
1237202158707187717,Been waiting for a time to hop back on a game seriously. #warzone #excited,been waiting for a time to hop back on a game seriously. ,Excitement,2020-03-10 02:22:35
1237198576545120257,"No stream tonight got some family over. New layouts and logo coming out tomorrow!!

War zone stream tomorrow!! Stay tuned for more!
#CODWarzone #Mixer #streamer #excited #StayTuned",no stream tonight got some family over. new layouts and logo coming out tomorrow!!  war zone stream tomorrow!! stay tuned for more! ,Excitement,2020-03-10 02:08:21
1237194520518942720,"Everybody ready for McMillions!!!!!
#McMillionsHBO #excited",everybody ready for millions!! ,Excitement,2020-03-10 01:52:14
1237182803055427585,"Not sure if I’m jet lagged, or just excited to watch Shark Tank and taking notes to learn... fine line but to my own surprise I’m not tired. 😅
#sharktank #backtolearning #thisisfun #jetlagged #excited #waytoolateforme","not sure if I am jet lagged, or just excited to watch shark tank and taking notes to learn.. fine line but to my own surprise I am not tired. 😅 ",Excitement,2020-03-10 01:05:40
1237163854129487873,Almost time to watch the @NBCTheVoice #excited to see what happens tonight on #VoiceBlinds,almost time to watch the @nbcthevoice excited to see what happens tonight on ,Excitement,2020-03-09 23:50:22
1237163666434412545,"This season of #TheWalkingDead
Is just getting better and better!
Cant wait for next weeks episode already! #TheWalkingDeadUK 

I hope Negan turns his back on Alpha and those skin walking whisperers! 

#suspense #excited #",this season of thewalkingdead is just getting better and better! can not wait for next weeks episode already! thewalkingdeaduk   i hope began turns his back on alpha and those skin walking whisperers!   suspense excited #,Excitement,2020-03-09 23:49:38
1237162179264049154,But tell me why I'm so nervous about this interview 😳 any post #InterviewTips would be helpful! Struggling with questions to ask #interview #nervous #excited,but tell me why I am so nervous about this interview 😳 any post interviewtips would be helpful! struggling with questions to ask ,Excitement,2020-03-09 23:43:43
1237144882482786304,I get to purchase my cap and gown! 👩🏽‍🎓🎓 #excited #mph,i get to purchase my cap and gown! 👩🏽‍🎓🎓 ,Excitement,2020-03-09 22:34:59
1237138413599559683,Reminder to all students on the Drama London trip - we are meeting at 9.45 am tomorrow #excited,reminder to all students on the drama london trip - we are meeting at 9.45 am tomorrow ,Excitement,2020-03-09 22:09:17
1237132277160820739,"After 20 years working in the School of Education, UoH...I am excited to be given the opportunity to spread my wings and start a new role within Computing Services! Best get the ‘posh’ clothes ready 🤣 #excited #Onward #change #tech","after 20 years working in the school of education, oh..i am excited to be given the opportunity to spread my wings and start a new role within computing services! best get the ‘posh’ clothes ready 🤣 ",Excitement,2020-03-09 21:44:54
