tweet_id,OriginalText,CleanedText,ClassLabel,created_at
1237265527694692352,"Shri @RahulGandhi  @ahmedpatel @shaktisinhgohil  Mass #revolt is imminent in #Bihar Congress ,if  ex #Governor #NikhilKumar is not nominated as #RajyaSabha  candidate..#Mahagathbandhan  n @laluprasadrjd  @yadavtejashwi  shudnt risk prospects in #BiharElections2020","shri @rahulgandhi  @ahmedpatel @shaktisinhgohil  mass revolt is imminent in bihar congress ,if  ex governor nikhilkumar is not nominated as rajyasabha  candidate..mahagathbandhan  n @laluprasadrjd  @yadavtejashwi  shunt risk prospects in ",Fear,2020-03-10 06:34:23
1237263503464923136,"@DrHBurstein Patients with #cancer (especially with with #breastcancer) have their own concerns. Now, the #COVID19 is an additional #concern","@drhburstein patients with cancer (especially with with breastcancer) have their own concerns. now, the covid19 is an additional ",Fear,2020-03-10 06:26:21
1237243614910197765,"Do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric.
-Bertrand Russell
#quotes #quoteOfTheDay #dailyQuotes #Fear #Now #Opinion","do not fear to be eccentric in opinion, for every opinion now accepted was once eccentric. -errand russell ",Fear,2020-03-10 05:07:19
1237231902139895808,@TheEconomist #fear #economics spearheads #speculation @WSJ @LSEnews @wef,@theeconomist fear economics spearheads speculation @ws @sinews @wef,Fear,2020-03-10 04:20:46
1237225288825810944,Im #fear of making a time for wrong people.,I am fear of making a time for wrong people.,Fear,2020-03-10 03:54:30
1237212126961381376,".@war_artist says fear is a spectacular creativity
.@war_wimp says it is a boring failure #Fear=#Creativity
#Fear=#Failure",.@war_artist says fear is a spectacular creativity .@war_wimp says it is a boring failure ,Fear,2020-03-10 03:02:12
1237200034418081792,@SarahAnneDordel Did you see the series Counterpart? It was a crime not to report illness. #dislike #f2b,@sarahannedordel did you see the series counterpart? it was a crime not to report illness. ,Fear,2020-03-10 02:14:08
1237195350466875392,"I miss the days that I used to walk dauntlessly without fear of getting #coronavirus. After being stayed put for this long, I don't think I would be the same person as usual again!
#stayput #SelfQuarantine #NovelCoronavirus #fear #walking #outdoor","i miss the days that i used to walk dauntlessly without fear of getting coronavirus. after being stayed put for this long, i do not think i would be the same person as usual again! ",Fear,2020-03-10 01:55:32
1237193267692875778,"who has a lot of fear?
#twitterpoll #polls #Poll #polloftheday #fear",who has a lot of fear? ,Fear,2020-03-10 01:47:15
1237177064471617536,"#fear #shame and #humiliation all threaten secure attachment. Be #mindful with your children, give them safety.
#parenting #wisemindwiselife #wichita #dbt","fear shame and humiliation all threaten secure attachment. be mindful with your children, give them safety. ",Fear,2020-03-10 00:42:52
1237173674186162177,@wadeshipard He is apparently a #Pentecostal prophet who knows how to instill #fear and #elevate #inaction in dealing with crisis. This is his god's way of #eliminate #nonbelievers. #auspol #coronavirus #CoronavirusOutbreak,@wadeshipard he is apparently a pentecostal prophet who knows how to instill fear and elevate inaction in dealing with crisis. this is his god's way of eliminate nonbelievers. ,Fear,2020-03-10 00:29:24
1237166494934597634,The #Storm in #YOU will #Wait for #TheOne that does not #Fear the #Rain 😏,the storm in you will wait for throne that does not fear the rain 😏,Fear,2020-03-10 00:00:52
1237164730852282368,"@GregRubini @Judge_Knot @JohnBrennan  Protecting yourself from #Jail?  Endorsing a sniffing man that is unaware of his own location is #scary, but shows the #fear in your own life.  #Consequences are still coming for your crimes, sad you need someone to try to hide behind","@gregrubini @judge_knot @johnbrennan  protecting yourself from jail?  endorsing a sniffing man that is unaware of his own location is scary, but shows the fear in your own life.  consequences are still coming for your crimes, sad you need someone to try to hide behind",Fear,2020-03-09 23:53:51
1237157507233169409,#peacewithGod in times of #Fear!,peacewithgod in times of fear!,Fear,2020-03-09 23:25:09
1237156725695713280,"Investors strap yourselves in, we are in for a ride. ASX 200 is already down 3% within first the 20 minutes of trading. Looks and feels like fear on steroids to me.
#CoronavirusOutbreak 
#coronavirusaustralia 
#ASX 
#ASX200 
#StockMarket 
#fear","investors strap yourselves in, we are in for a ride. as 200 is already down 3% within first the 20 minutes of trading. looks and feels like fear on steroids to me. coronavirusoutbreak  coronavirusaustralia  as  as200  stockmaker  ",Fear,2020-03-09 23:22:03
1237150368276131842,#fear of catching #coronavirus is bigger than this #virus 😢 find something to distance yourself from thinking of it!,fear of catching coronavirus is bigger than this virus 😢 find something to distance yourself from thinking of it!,Fear,2020-03-09 22:56:47
1237148174864846850,@tedlieu @realDonaldTrump @CDCgov Isn’t Rod Rosenstien’s sister over at the CDC?  We are getting closer to your corruption aren’t we? #Fear,@tellies @realdonaldtrump @cdcgov is not rod rosenstien’s sister over at the dc?  we are getting closer to your corruption are not we? ,Fear,2020-03-09 22:48:04
1237135113122492416,@drtazmd The best way to address #fear and #panic is with #Facts thank you @drtazmd,@drtazmd the best way to address fear and panic is with facts thank you @drtazmd,Fear,2020-03-09 21:56:10
1237133500186275850,"@douglaslabier By us being desensitized to animal cruelty, we are so numbed that we consider murder something normal. Our society suffers from Empathy Deficit Disorder. #empathy #care #GoVegan","@douglaslabier by us being desensitized to animal cruelty, we are so numbed that we consider murder something normal. our society suffers from empathy deficit disorder. ",Fear,2020-03-09 21:49:45
1237133282443231232,Care for carers? To all British citizens kindly support our carers with many thanks. #carer #Disability #disabilities #care #Britain #UnitedKingdom,care for carers? to all british citizens kindly support our carers with many thanks. ,Fear,2020-03-09 21:48:54
1237130633782190086,"I'm neither an activist nor a political person, but I'm a person with compassion and I #Care for people around me, staying home and doing my bit to fight #Coronavirus #smartworking @PwC_Italia
#fermiamoloinsieme  #iorestoacasa","I am neither an activist nor a political person, but I am a person with compassion and i care for people around me, staying home and doing my bit to fight coronavirus smartworking @pec_italia fermiamoloinsieme  ",Fear,2020-03-09 21:38:22
