tweet_id,OriginalText,CleanedText,ClassLabel,created_at
1237185468149555200,"Happy Holi to all my dear earthlings !!
#HappyHoli2020 #HappyHoli #happy #festivalofcolors #festivalofcolours",happy holi to all my dear earthlings !! ,Happy,2020-03-10 01:16:16
1237183411950964736,@Chris_Meloni I am OBSESSED with #Happy! Can't get enough of Nick Sax 😍😍😍😍 #thatbootythough #happy #netflix #syfyoriginal #favshowrn #darkcomedygold,@chris_melon i am obsessed with happy! can not get enough of nick sax 😍😍 ,Happy,2020-03-10 01:08:05
1237178387019583489,@aaroncarter Having a wonderful year babe! #happy #blessed,@aaroncarter having a wonderful year babe! ,Happy,2020-03-10 00:48:07
1237177986744344576,#HAPPY HOLI I wish your life is colourful sa ra  ra,happy holi i wish your life is colourful sa ra  ra,Happy,2020-03-10 00:46:32
1237176346973016064,"“The outpouring of #Revival is to solve a generation’s affliction. We live in the generation of depression, anxiety &amp; fear. That’s why this outpouring is full of #joy.  It’s the answer for a dying generation.” 
@PastorCleetus 

#40DaysOfTheHolySpirit S5
#Day11","“the outpouring of revival is to solve a generation’s affliction. we live in the generation of depression, anxiety &amp; fear. that is why this outpouring is full of joy.  it is the answer for a dying generation.”  @pastorcleetus   40daysoftheholyspirit s5 ",Happy,2020-03-10 00:40:01
1237173878612516864,Good Morning Everyone! :) . . #RustagiPolymers #goodmorning #love #beautiful #summer #bomdia #instagood #happy #instagram #photography #amazing #life #picoftheday #photooftheday #morning,good morning everyone! :) . . ,Happy,2020-03-10 00:30:12
1237173327237484545,"I love my new glasses! The best part is, they were only $17.00! #happy 😊 #zennioptical","i love my new glasses! the best part is, they were only $17.00! happy 😊 ",Happy,2020-03-10 00:28:01
1237171914180714497,"Leave Righteousness for God, do what makes you #Happy 😊","leave righteousness for god, do what makes you happy 😊",Happy,2020-03-10 00:22:24
1237169895730798593,@BachFan10 I feel strongly that they should be #happy she didn't go.  💯😘,@badhan10 i feel strongly that they should be happy she did not go.  💯😘,Happy,2020-03-10 00:14:23
1237164351561367552,#joy in your step and joy in the mind. #HappyHoli,joy in your step and joy in the mind. ,Happy,2020-03-09 23:52:21
1237162093956288513,"Thank you kindly for RTing Larry, LarryMatthewsAppraisals, Luke, HantsRealtyLtd, HantsRealty, HantsFinancial! #Happy Monday. 😊🙃🌞💚","thank you kindly for ring larry, larrymatthewsappraisals, luke, hantsrealtyltd, hantsrealty, hantsfinancial! happy monday. 😊🙃🌞💚",Happy,2020-03-09 23:43:23
1237160870641201152,"Thank you kindly for RTing Anjelica! #Happy Monday, 😊🙃💚","thank you kindly for ring angelica! happy monday, 😊🙃💚",Happy,2020-03-09 23:38:31
1237158142141751297,Thank you kindly for RTing StewiackeNews!  #Happy Monday. 😊,thank you kindly for ring stewiackenews!  happy monday. 😊,Happy,2020-03-09 23:27:41
1237153136198012928,"Watching @syttd.

Man, @randyfenoli - you have the best damn job in the world.

#joy","watching @stud.  man, @randyfenoli - you have the best damn job in the world.  ",Happy,2020-03-09 23:07:47
1237152916676509696,"Martial is smiling , I’m smiling we’re all smiling #MUFC #Happy #Derbymanchester","martial is smiling , I am smiling we are all smiling ",Happy,2020-03-09 23:06:55
1237149749263949830,"#JOY #Love

❥ Live Life in Love with Love and feel JOY. 

You are blessed. 

~JeanetteJOY ♪ ♬♬♫♫",joy love  ❥ live life in love with love and feel joy.   you are blessed.   ~jeanettejoy ♪ ♬♬♫♫,Happy,2020-03-09 22:54:20
1237148868887764992,"I’ve learned to (try 💪🏼) Be whatever mode you need to be in to protect the wellness of your Team’s vision.. this includes #SelfCare #Wellness #JOY #Fun #Laughter

This is an opportunity to find #Clarity and #Connection .. preparing me to be strong for the next #CourageMoment 🌸🌊",I have learned to (try 💪🏼) be whatever mode you need to be in to protect the wellness of your team’s vision.. this includes welfare wellness joy fun laughter  this is an opportunity to find clarity and connection .. preparing me to be strong for the next couragemoment 🌸🌊,Happy,2020-03-09 22:50:50
1237148596526616576,@sparkleaddict @bikeonscott Awesome ride! #Create that #joy!,@sparkleaddict @bikeonscott awesome ride! create that joy!,Happy,2020-03-09 22:49:45
1237146984903069696,"Only just got in from the studio, I’ve been sat prepping all of my greeting cards for Friday’s Ladies Night since 16:30 😆😬 #GoodDay #Crafting #HomeDecor #MentalHealthMatters #Happy #GreetingCardsUK #EtsyUK #EtsyHandmade #HandmadeUK","only just got in from the studio, I have been sat prepping all of my greeting cards for friday’s ladies night since 16:30 😆😬 ",Happy,2020-03-09 22:43:20
1237146893538525184,"Play with colors, not with emotions 🙂

#Happy Holi 2020","play with colors, not with emotions 🙂  happy holi 2020",Happy,2020-03-09 22:42:59
1237145584756293634,"I'm going to keep strong ✊ with big hopes. 

#Happy #IHeardYou ❤️",I am going to keep strong ✊ with big hopes.   happy iheardyou ❤️,Happy,2020-03-09 22:37:47
1237136323141648384,"@ThorisoMaloka@#1973/03/05√=©®™℅[1992-03/09}
0685048980
#WhatsApp ME!!
#HAPPY BORNDAY.
MY
#LIONNEL-FISH.
OFF
HOCKS,
#NEXT STEPPSSESS.
#AQUARIUMZ-ATTACKS?
#TAKE CARE.
#CHRIST-MICHEAL HAS LANDED.","@thorisomaloka@1973/03/05√=©®™℅[1992-03/09} 0685048980 whatsapp me!! happy boundary. my lionel-fish. off hocks, next steppssess. aquariums-attacks? take care. christ-michael has landed.",Happy,2020-03-09 22:00:58
1237134246902403075,Selling Coachella tix for $250 if interested kindly dm me now #love #instagood #photooftheday #fashion #beautiful #happy #cute #tbt #picoftheday #me #selfie #summer #art #friends #repost #nature #girl #fun #style #smile #food #instalike #family #travel,selling orchella six for $250 if interested kindly dm me now ,Happy,2020-03-09 21:52:43
1237122130598379520,@FitzyMoPena You certainly weren’t #happy!,@fitzymopena you certainly were not happy!,Happy,2020-03-09 21:04:35
1237110307488661504,Thank you for RTing StewiackeNews!  #Happy Monday. 😊💚,thank you for ring stewiackenews!  happy monday. 😊💚,Happy,2020-03-09 20:17:36
1237108439932907520,"SPRING IS HERE!!!!!! Love this time of year. No one freezing car rides as the broken heater is blasting. And the beat of the sun with the cool breeze. Magical

#laughaboutit #laugh #smile #happy #springtime #sunnyweather #lovethis #behappy #happiness",spring is here!! love this time of year. no one freezing car rides as the broken heater is blasting. and the beat of the sun with the cool breeze. magical  ,Happy,2020-03-09 20:10:11
