tweet_id,OriginalText,CleanedText,ClassLabel,created_at
1237903356124778497,@itsaadee #Happy Birthday Atif sir..... God bless u &amp; ur family..... 🤗😍😊❤,@itsaadee happy birthday alif sir.. god bless you &amp; ur family.. 🤗😍😊❤,Happy,2020-03-12 00:48:53
1237902257607368704,Wait? Tinnerboom now using the back heel? #joy #NYCFC,wait? tinnerboom now using the back heel? ,Surprise,2020-03-12 00:44:31
1237902177827463168,"""When #joy goes, the Word loses its power, its freshness and richness."" - E.W. Kenyon","""when joy goes, the word loses its power, its freshness and richness."" - e.w. kenyan",Happy,2020-03-12 00:44:12
1237901389059297280,@realDonaldTrump #Glad your the only one who believes that . Pinocchio,@realdonaldtrump glad your the only one who believes that . pinocchio,Happy,2020-03-12 00:41:04
1237899368092405760,I #really need to #work on making #myself #happy #ThoughtOfTheDay,i really need to work on making ,Happy,2020-03-12 00:33:03
1237898670017613824,Good Morning Everyone! :) . . #RustagiPolymers #goodmorning #love #beautiful #summer #bomdia #instagood #happy #instagram #photography #amazing #life #picoftheday #photooftheday #morning,good morning everyone! :) . . ,Happy,2020-03-12 00:30:16
1237898420720996352,Toking away the day #toke #happy #weedlife #tired #needmore,toking away the day ,None,2020-03-12 00:29:17
1237896610807332864,I'm 36 mins into the first episode of #LoveIsBlind and idk how I feel right now #Cringe #Happy #Stupid #HugeSmileOnMyFace #IsThisRealLife #IfItWorksItWorks,I am 36 mins into the first episode of loveisblind and ink how i feel right now ,Pleasant,2020-03-12 00:22:05
1237895488587870208,"I’m sitting at dinner with #MyThreeSons after successful parent-teacher conferences...they have not taken a breath in 20 minutes, engrossed in #Minecraft strategy and comedy...and they are #happy. Best reminder for me to chill out as a parent to get this more often. @dipnotz","I am sitting at dinner with mythreesons after successful parent-teacher conferences..they have not taken a breath in 20 minutes, engrossed in monkcraft strategy and comedy..and they are happy. best reminder for me to chill out as a parent to get this more often. @dipnoan",Pleasant,2020-03-12 00:17:38
1237894470374313984,"I hope you'll cheer with me and enjoy the rest of your time.Hah!
#Seol #Happy Lunar New Year #Our fans #Do whatever you want to do. #Pyeongchang Olympics too #Fighting",i hope you will cheer with me and enjoy the rest of your time.hah! sell happy lunar new year our fans do whatever you want to do. pyeongchang olympics too ,Happy,2020-03-12 00:13:35
1237893189085757444,@raycondones Can't Wait ❤️#happy #joy #LGBTQCOVID2019,@raycondones can not wait ❤️,Happy,2020-03-12 00:08:29
1237892593624576000,"I thought Jacob was the clear winner of the #PotteryThrowdown every dragon was just awesome.
Sad that's it over and that I came to the series late. So much creativity and 'niceness' for want of a better word between the contestants. Just a #joy to watch in a weary world.",i thought jacob was the clear winner of the potterythrowdown every dragon was just awesome. sad that is it over and that i came to the series late. so much creativity and 'niceness' for want of a better word between the contestants. just a joy to watch in a weary world.,Happy,2020-03-12 00:06:07
1237891799118536706,"Thank you so much to all the fans who wished me a happy birthday!!
# February 8 #Jeongin's Day #Birthday #Happy day",thank you so much to all the fans who wished me a happy birthday!! # february 8 engin's day birthday happy day,Happy,2020-03-12 00:02:58
1237890349638402050,"#SkiUMah #GoGophers #B1GTourney  Good Win, just NINE MORE and be #happy!!!!    Throwing in another #SKOL   #NoFans tomorrow, sorry #Iowa","skipman gophers b1tourney  good win, just nine more and be happy!!  throwing in another skol  nonfans tomorrow, sorry ",Excitement,2020-03-11 23:57:12
1237888548268691458,"Not gonna’ lie, my favorite thing about @PlanetFitness is watching their staff #obsessively clean (even pre-flu madness). Seriously, this is the #cleanest #gym I’ve ever been in and it makes my #biologist #heart SO #HAPPY. #kingmanaz","not going to’ lie, my favorite thing about @planetfitness is watching their staff obsessively clean (even pre-flu madness). seriously, this is the cleanest gym I have ever been in and it makes my biologist heart so happy. ",Happy,2020-03-11 23:50:03
1237885960601219072,#Joy Reid should replace Chris Matthew,joy red should replace chris matthew,Happy,2020-03-11 23:39:46
1237884915879821313,@imscooterrogers You know I’m ready for this Scooter Rogers!! #JOY #Treehousegang,@imscooterrogers you know I am ready for this scooter rogers!! ,Pleasant,2020-03-11 23:35:37
1237883104636702722,"THE CATCH OF THE DAY: @dannyworsnop - ""Happy""

Let us know whatcha think! - @kim89x 

#thecatchoftheday #dannyworsnop #askingalexandria #newmusic #happy #newrockfirst #newrock89x #89xatnight #solo #projects #wednesday","the catch of the day: @dannyworsnop - ""happy""  let us know whatchy think! - @kim89x   ",Excitement,2020-03-11 23:28:25
1237879780411760640,Every time I travel to DC I organize my trip to eat at least one meal at @sweetgreen.  And be still my beating heart they are building one in Denver.  A small #joy during an otherwise bleak week.,every time i travel to dc i organize my trip to eat at least one meal at @sweetgreen.  and be still my beating heart they are building one in denver.  a small joy during an otherwise bleak week.,Pleasant,2020-03-11 23:15:13
1237879743438974977,"I hope everyone is having a great day! 

#Happy #LiveYourLife",i hope everyone is having a great day!   ,Pleasant,2020-03-11 23:15:04
